Year,Id,State,Tetanus_Toxoid_Reduced_Diphtheria_Toxoid_Or_Acellular_Pertussis,Tetanus_Toxoid_Reduced_Diphtheria_Toxoid_Acellular_Pertussis,One_Dose_Meningococcal_Conjugate,One_Dose_Human_Papilloma_Virus_Female,Two_Dose_Human_Papilloma_Virus_Female,Three_Dose_Human_Papilloma_Virus_Female,Three_Dose_Human_Papilloma_Virus_Series_Completion_Female,One_Dose_Human_Papilloma_Virus_Male,Two_Dose_Human_Papilloma_Virus_Male,Three_Dose_Human_Papilloma_Virus_Male,Three_Dose_Human_Papilloma_Virus_Series_Completion_Male
2011,1,Alabama,82.8(å±4.5),74.4(å±5.2),64.3(å±5.9),49.5(å±9.3),NA,31.2(å±8.6),64.6(å±13.1),NA,NA,NA,NA
2011,2,Alaska,70.5(å±6.9),65.6(å±7.0),46.1(å±7.2),59.5(å±9.5),NA,40.4(å±9.8),70.8(å±12.3),NA,NA,NA,NA
2011,4,Arizona,89.9(å±4.8),85.3(å±5.3),82.9(å±5.6),55.3(å±10.3),NA,36.7(å±10.0),70.7(å±12.4),8.4(å±4.4),NA,NA,NA
2011,5,Arkansas,54.9(å±7.9),48.4(å±8.0),27.6(å±7.0),36.1(å±12.3),NA,15.5(å±7.9),44.8(å±22.3),NA,NA,NA,NA
2011,6,California,87.0(å±3.5),82.5(å±3.9),75.4(å±4.4),65.0(å±6.8),NA,42.9(å±7.3),72.3(å±8.8),13.0(å±5.1),NA,NA,NA
2011,8,Colorado,87.4(å±5.6),84.7(å±5.8),64.4(å±7.0),45.9(å±10.4),NA,25.3(å±7.7),62.7(å±16.1),13.6(å±7.3),NA,NA,NA
2011,9,Connecticut,90.6(å±3.9),83.0(å±4.8),81.1(å±5.0),60.5(å±8.5),NA,43.0(å±8.8),74.0(å±12.6),17.3(å±6.3),NA,NA,NA
2011,10,Delaware,87.7(å±3.8),80.7(å±4.5),78.2(å±4.9),60.2(å±8.7),NA,46.8(å±8.8),84.4(å±7.7),11.6(å±5.2),NA,NA,NA
2011,11,Dist. of Columbia,92.5(å±3.5),82.0(å±5.0),90.3(å±3.7),55.0(å±9.4),NA,36.0(å±8.5),70.5(å±11.0),NA,NA,NA,NA
2011,12,Florida,91.7(å±3.8),77.5(å±5.3),61.2(å±6.1),50.0(å±8.8),NA,35.3(å±8.4),74.0(å±11.8),NA,NA,NA,NA
2011,13,Georgia,76.6(å±5.6),68.0(å±5.9),67.7(å±5.8),48.4(å±9.0),NA,30.0(å±8.4),67.1(å±12.9),7.3(å±3.8),NA,NA,NA
2011,15,Hawaii,79.4(å±5.6),67.7(å±6.2),70.2(å±5.9),73.1(å±8.0),NA,50.9(å±9.6),71.6(å±11.2),11.7(å±5.4),NA,NA,NA
2011,16,Idaho,63.3(å±7.0),58.3(å±7.1),50.5(å±7.2),45.5(å±10.5),NA,30.0(å±9.8),73.3(å±12.7),NA,NA,NA,NA
2011,17,Illinois,79.9(å±4.1),71.8(å±4.6),66.5(å±5.1),51.6(å±7.5),NA,34.0(å±7.9),73.8(å±9.1),6.2(å±3.0),NA,NA,NA
2011,18,Indiana,94.0(å±2.7),92.7(å±3.0),92.1(å±3.6),40.8(å±9.2),NA,28.4(å±8.1),71.4(å±14.9),NA,NA,NA,NA
2011,19,Iowa,78.3(å±5.5),74.7(å±5.9),60.5(å±6.7),53.5(å±10.0),NA,40.7(å±10.2),76.7(å±13.0),NA,NA,NA,NA
2011,20,Kansas,84.4(å±5.1),79.1(å±5.6),47.7(å±6.6),37.2(å±8.7),NA,21.9(å±6.6),60.0(å±13.7),NA,NA,NA,NA
2011,21,Kentucky,87.7(å±4.1),70.0(å±6.0),55.0(å±6.6),46.0(å±9.8),NA,30.5(å±8.6),73.6(å±16.3),NA,NA,NA,NA
2011,22,Louisiana,92.1(å±3.2),85.9(å±4.2),90.0(å±3.5),63.0(å±8.8),NA,36.3(å±8.5),64.1(å±12.6),15.8(å±6.4),NA,NA,NA
2011,23,Maine,78.6(å±5.4),69.2(å±5.7),64.9(å±5.8),56.1(å±8.2),NA,44.5(å±8.3),88.2(å±7.3),NA,NA,NA,NA
2011,24,Maryland,85.8(å±4.0),72.9(å±5.3),78.5(å±4.8),45.7(å±8.3),NA,29.9(å±7.1),70.0(å±11.4),14.0(å±6.2),NA,NA,NA
2011,25,Massachusetts,96.7(å±2.5),91.6(å±3.4),84.4(å±5.3),61.1(å±8.9),NA,48.5(å±9.2),88.7(å±6.5),NA,NA,NA,NA
2011,26,Michigan,81.7(å±5.7),71.0(å±6.5),77.9(å±5.8),55.6(å±9.8),NA,31.6(å±8.6),61.6(å±13.9),NA,NA,NA,NA
2011,27,Minnesota,90.1(å±5.7),82.5(å±6.0),63.1(å±7.0),55.5(å±9.9),NA,35.1(å±9.1),66.4(å±16.3),NA,NA,NA,NA
2011,28,Mississippi,43.4(å±7.0),36.9(å±6.8),34.2(å±6.8),31.9(å±10.3),NA,19.6(å±9.3),66.0(å±19.9),NA,NA,NA,NA
